iter	Passed	Remaining
434	1480	1612
435	1485	1611
436	1489	1608
437	1491	1604
438	1495	1600
439	1497	1596
440	1500	1592
441	1503	1588
442	1507	1585
443	1510	1581
444	1513	1577
445	1515	1573
446	1520	1572
447	1525	1569
448	1528	1566
449	1531	1562
450	1535	1559
451	1538	1555
452	1539	1549
453	1542	1545
454	1545	1542
455	1548	1538
456	1552	1535
457	1556	1532
458	1559	1528
459	1561	1524
460	1565	1521
461	1567	1517
462	1570	1512
463	1573	1509
464	1576	1505
465	1581	1503
466	1585	1500
467	1588	1496
468	1591	1493
469	1594	1489
470	1597	1485
471	1600	1481
472	1603	1477
473	1607	1475
474	1611	1472
475	1615	1469
476	1617	1465
477	1620	1461
478	1623	1457
479	1627	1454
480	1630	1450
481	1633	1447
482	1636	1443
483	1640	1440
484	1643	1436
485	1649	1435
486	1653	1432
487	1655	1428
488	1658	1424
489	1662	1421
490	1666	1419
491	1670	1416
492	1674	1412
493	1679	1410
494	1681	1406
495	1684	1402
496	1687	1398
497	1690	1394
498	1693	1391
499	1695	1387
500	1699	1383
501	1701	1379
502	1704	1376
503	1709	1373
504	1712	1370
505	1715	1366
506	1718	1362
507	1720	1358
508	1723	1354
509	1726	1351
510	1729	1347
511	1732	1343
512	1734	1339
513	1738	1336
514	1742	1332
515	1745	1329
516	1748	1326
517	1753	1323
518	1756	1319
519	1759	1316
520	1761	1312
521	1765	1308
522	1769	1305
523	1772	1302
524	1775	1298
525	1778	1295
526	1781	1291
527	1783	1287
528	1786	1283
529	1789	1279
530	1792	1275
531	1795	1272
532	1797	1268
533	1801	1265
534	1805	1261
535	1808	1258
536	1811	1254
537	1814	1251
538	1817	1247
539	1820	1243
540	1823	1240
541	1826	1236
542	1829	1233
543	1835	1231
544	1840	1229
545	1844	1226
546	1847	1222
547	1853	1220
548	1856	1217
549	1861	1215
550	1867	1213
551	1872	1210
552	1875	1207
553	1879	1204
554	1882	1201
555	1886	1197
556	1889	1194
557	1893	1190
558	1896	1187
559	1900	1184
560	1907	1183
561	1914	1181
562	1915	1177
563	1919	1173
564	1921	1170
565	1925	1167
566	1929	1163
567	1932	1160
568	1934	1156
569	1938	1152
570	1941	1149
571	1944	1145
572	1947	1141
573	1950	1138
574	1952	1134
575	1956	1130
576	1961	1128
577	1964	1125
578	1968	1121
579	1971	1118
580	1974	1114
581	1976	1110
582	1979	1106
583	1982	1103
584	1985	1099
585	1988	1096
586	1991	1092
587	1995	1089
588	2000	1087
589	2003	1083
590	2006	1079
591	2009	1075
592	2012	1072
593	2015	1068
594	2018	1065
595	2020	1061
596	2023	1057
597	2028	1054
598	2031	1051
599	2034	1047
600	2037	1044
601	2039	1040
602	2042	1036
603	2045	1032
604	2048	1029
605	2051	1025
606	2054	1021
607	2058	1019
608	2072	1021
609	2075	1017
610	2079	1014
611	2087	1013
612	2090	1009
613	2094	1006
614	2096	1002
615	2099	998
616	2102	995
617	2105	991
618	2108	987
619	2111	984
620	2114	980
621	2117	976
622	2120	973
623	2123	969
624	2131	968
625	2136	965
626	2139	962
627	2142	958
628	2145	955
629	2149	951
630	2161	952
631	2167	949
632	2169	946
633	2173	942
634	2175	938
635	2179	935
636	2181	931
637	2184	927
638	2189	925
639	2192	921
640	2195	917
641	2198	914
642	2201	910
643	2204	907
644	2207	903
645	2210	899
646	2212	896
647	2215	892
648	2219	889
649	2222	885
650	2226	882
651	2229	878
652	2232	875
653	2235	871
654	2238	868
655	2241	864
656	2243	860
657	2252	859
658	2255	855
659	2259	852
660	2261	848
661	2264	845
662	2267	841
663	2269	837
664	2272	833
665	2275	830
666	2279	826
667	2282	823
668	2286	820
669	2289	816
670	2292	812
671	2294	809
672	2297	805
673	2300	802
674	2303	798
675	2306	795
676	2309	791
677	2312	787
678	2319	785
679	2322	782
680	2326	778
681	2328	775
682	2331	771
683	2334	768
684	2337	764
685	2340	760
686	2343	757
687	2347	754
688	2353	751
689	2355	747
690	2359	744
691	2363	741
692	2366	737
693	2369	734
694	2373	730
695	2376	727
696	2382	724
697	2385	721
698	2388	717
699	2392	714
700	2395	710
701	2398	707
702	2401	703
703	2404	700
704	2407	696
705	2413	693
706	2416	690
707	2420	687
708	2423	683
709	2425	679
710	2428	676
711	2431	672
712	2434	669
713	2437	665
714	2441	662
715	2445	659
716	2448	655
717	2451	652
718	2454	648
719	2456	644
720	2459	641
721	2461	637
722	2465	634
723	2467	630
724	2470	627
725	2474	623
726	2478	620
727	2481	616
728	2485	613
729	2487	609
730	2492	606
731	2494	603
732	2497	599
733	2500	596
734	2502	592
735	2508	589
736	2511	586
737	2514	582
738	2517	579
739	2520	575
740	2523	572
741	2525	568
742	2528	564
743	2531	561
744	2533	557
745	2536	554
746	2543	551
747	2548	548
748	2553	545
749	2556	541
750	2559	538
751	2561	534
752	2565	531
753	2570	528
754	2573	524
755	2576	521
756	2579	518
757	2582	514
758	2585	510
759	2587	507
760	2591	503
761	2593	500
762	2596	496
763	2601	493
764	2605	490
765	2608	486
766	2612	483
767	2614	480
768	2618	476
769	2621	473
770	2624	469
771	2627	466
772	2631	462
773	2637	460
774	2641	456
775	2645	453
776	2649	450
777	2652	446
778	2654	443
779	2657	439
780	2660	436
781	2665	432
782	2669	429
783	2672	426
784	2675	422
785	2677	419
786	2680	415
787	2684	412
788	2686	408
789	2689	405
790	2691	401
791	2695	398
792	2700	395
793	2705	391
794	2709	388
795	2712	385
796	2715	381
797	2718	378
798	2720	374
799	2726	371
800	2732	368
801	2736	365
802	2739	361
803	2742	358
804	2745	354
805	2749	351
806	2753	348
807	2758	344
808	2762	341
809	2766	338
810	2770	334
811	2773	331
812	2777	328
813	2782	324
814	2787	321
815	2801	319
816	2806	316
817	2811	312
818	2816	309
819	2821	306
820	2828	303
821	2832	299
822	2837	296
823	2840	292
824	2844	289
825	2847	286
826	2852	282
827	2857	279
828	2863	276
829	2867	272
830	2872	269
831	2877	266
832	2881	262
833	2885	259
834	2890	256
835	2894	252
836	2899	249
837	2902	245
838	2905	242
839	2909	238
840	2912	235
841	2917	232
842	2923	228
843	2932	225
844	2935	222
845	2939	218
846	2943	215
847	2946	211
848	2953	208
849	2957	205
850	2960	201
851	2964	198
852	2967	194
853	2972	191
854	2976	188
855	2979	184
856	2985	181
857	2990	177
858	2994	174
859	2999	170
860	3004	167
861	3007	163
862	3011	160
863	3015	157
864	3021	153
865	3026	150
866	3032	146
867	3036	143
868	3040	139
869	3046	136
870	3057	133
871	3061	129
872	3066	126
873	3070	122
874	3075	119
875	3083	116
876	3088	112
877	3092	109
878	3095	105
879	3102	102
880	3105	98
881	3109	95
882	3116	91
883	3122	88
884	3127	84
885	3146	81
886	3155	78
887	3161	74
888	3166	71
889	3170	67
890	3173	64
891	3178	60
892	3182	57
893	3186	53
894	3189	49
895	3192	46
896	3195	42
897	3198	39
898	3201	35
899	3206	32
900	3209	28
901	3213	24
902	3217	21
903	3220	17
904	3222	14
905	3225	10
906	3228	7
907	3231	3
908	3234	0
